INCI Name,End Uses,Chemical Family,Labeling Claims,Certifications & Compliance,CAS Number,Grade,Benefit Claims,HLB Value,Ingredient Origin,Features,Chemical Name,Function,Synonyms
Dipeptide Diaminobutyroyl Benzylamide Diacetate,,,"Non-GMO, Alcohol-free, Clean at Sephora","EU Cosmetic Regulation 1223/2009 Compliant, REACH (Europe), IECIC (China)",,,"Fine Lines Reduction, Skin Protection, Rejuvenating",,Synthetic,,,"Flattener, Anti-Aging Agent",
Bacillus Ferment,,,"Credo Clean Standard, Clean at Sephora","CosIng Listed, IECIC (China)",,,"Anti-Aging, Wrinkle Refinement",,,,,Anti-Aging Agent,
Cetrimonium Chloride,,,"Credo Clean Standard, Clean at Sephora, Ulta Beauty's Conscious Beauty",,,,,,Synthetic,,,"Emulsifier, Dispersant, Softener, Anti-Static Agent","Cetyl Trimethyl Ammonium Chloride , Cetyl(Trimethyl)Ammonium Chloride , Hexadecyl(Trimethyl)Ammonium Chloride , N,N,N-Trimethyl-1-Hexadecanaminium Chloride , Palmityltrimethylammonium chloride , Trimethylcetylammonium Chloride , Trimethylhexadecylammonium Chloride"
"Dimethicone, Titanium Dioxide",,,"Credo Clean Standard, Preservative-free, Ulta Beauty's Conscious Beauty","IECIC (China), EU Cosmetic Regulation 1223/2009 Compliant, REACH (Europe)",,,"Skin Protection, Blue Light Protection, Formula Stability",,"Mineral Origin, Natural Origin",,,"UV Protector, UV Absorber, Blue Light Filter",
Sodium Ascorbyl Phosphate,,,"BSE-free, Clean at Sephora, Credo Clean Standard","IECIC (China), Kosher, EU Cosmetic Regulation 1223/2009 Compliant",,,"Anti-Aging, Formula Stability, Anti-Inflammatory",,Synthetic,,,"Lightening Agent, Skin Barrier Protectant, Antioxidant, Anti-Aging Agent",
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,,,"Ulta Beauty's Conscious Beauty, Credo Clean Standard",RSPO MassBalance Certified,,,,,Synthetic,,,"Viscosity Modifier, Stabilizer, Emulsifier",
Biosaccharide Gum-1,,,"Clean at Sephora, Organic, Credo Clean Standard","Organic Certified, IECIC (China), ECOCERT",,,"Anti-Aging, Strengthening, Moisturizing",,Fermentation,,,"Film Former, Moisturizing Agent",
Hexylresorcinol,,,Ulta Beauty's Conscious Beauty,"United States Pharmacopeia (USP), Kosher, EFISC",,,"Skin Lightening, Whitening, Skin Whitening",,Synthetic,,,Lightening Agent,"4-Hexyl-1,3-benzenediol , 4-Hexylresorcinol"
"Oryza Sativa (Rice) Bran Wax, Oryza Sativa (Rice) Bran Oil, Helianthus Annuus (Sunflower) Seed Wax",,,"Natural, Ulta Beauty's Conscious Beauty, Credo Clean Standard",,,,,,Natural Origin,,,Viscosity Modifier,
PEG-6,,"Polyethylene Glycols, Polyols, Amines",,,25322-68-3,,,,"Petrochemical, Synthetic, Non-Animal Origin",,PEG 300,"Fluid Loss Control Additive, Stabilizer, Binder, Solubilizer, Rheology Modifier, Plasticizer, Viscosity Modifier, Suspension Aid, Solvent, Emulsion Stabilizer, Moisturizing Agent",
"Polyisobutene, Polyacrylate-13, Polysorbate 20",,,"Preservative-free, Ulta Beauty's Conscious Beauty, Solvent-free",,,,"Spreadability, Ready-To-Use",,,,,"Viscosity Modifier, Emulsifier",
Tetrahydrodiferuloylmethane,,,"BSE-free, Clean at Sephora, GMO-free","Kosher, Halal",,,"Antioxidant Properties, Skin Lightening, UV Protection",,Plant Origin,,,"Soothing Agent, Lightening Agent, UV Protector, Optical Brightener, Antioxidant","1,7-Bis(4-hydroxy-3-methoxyphenyl)-3,5-heptanedione"
